URL,Size(Bytes),Outlinks,Content-Type
https://www.foxnews.com/politics/resurfaced-social-media-post-comes-back-haunt-disgraced-dem-ag-candidate-delete-your-account,365480,531,text/html
https://www.foxnews.com/politics/kamala-harris-takes-apparent-shot-trump-admin-bizarre-meltdown-these-mother-crazy,393136,531,text/html
https://www.foxnews.com/category/politics/elections,244442,601,text/html
https://www.foxnews.com/health/rare-neck-condition-could-turn-salon-hair-washing-dangerous-stroke-risk,349651,525,text/html
https://www.foxnews.com/category/health,222406,577,text/html
https://www.foxnews.com/world/greta-thunberg-slammed-using-image-starved-israeli-hostage-show-palestinians-suffering-gaza,366543,521,text/html
https://www.foxnews.com/us/final-orleans-parish-jail-escapee-derrick-groves-taken-custody-five-month-manhunt,356319,520,text/html
https://www.foxnews.com/politics/joan-kennedy-wife-sen-ted-kennedy-22-years-dead-89,358522,525,text/html
https://www.foxnews.com/politics/politics-cartoons-slideshow,963735,511,text/html
https://www.foxnews.com/media/fox-news-joey-jones-honored-excellence-journalism-award-tennessee-patriot-award-gala,361574,519,text/html
https://www.foxnews.com/category/media/fox-news-flash,200279,497,text/html
https://www.foxnews.com/media/kim-kardashian-brings-elizabeth-taylors-untold-story-fox-nation,348428,524,text/html
https://www.foxnews.com/category/fox-nation,192034,512,text/html
https://www.foxnews.com/media/fox-news-dominates-all-news-brands-1-1-billion-youtube-views-during-q3-topping-nbc-abc-cbs-combined,355567,519,text/html
https://www.foxnews.com/sports/fox-one-espn-bundle-brings-massive-sports-content-fans,333524,519,text/html
https://www.foxnews.com/category/sports,193229,518,text/html
https://www.foxnews.com/media/fun-fact-africa-larger-than-u-s-china-india-mexico-most-europe-combined,989805,431,text/html
https://www.foxnews.com/games/scattergories-daily,177841,474,text/html
https://www.foxnews.com/travel/cdc-reports-19th-cruise-ship-norovirus-outbreak-year-affecting-passengers-crew,361553,527,text/html
https://www.foxnews.com/health/deadly-mosquito-borne-virus-sparks-cdc-travel-alert-could-reach-us,357908,528,text/html
https://www.foxnews.com/travel/thousands-protestors-prompt-world-famous-landmark-close-its-doors-tourists,346927,522,text/html
https://www.foxnews.com/health/paralyzed-man-walks-again-after-experimental-drug-trial-triggers-remarkable-recovery,375613,529,text/html
https://www.foxnews.com/entertainment/sex-city-star-cops-mean-girl-behavior-blue-bloods-star,377425,534,text/html
https://www.foxnews.com/food-drink/gen-z-drinkers-leave-bartenders-frustrated-shrinking-tips-terrible-trend-emerges,354250,526,text/html
https://nation.foxnews.com/,120457,29,text/html
https://nation.foxnews.com/account/signin/,5048,0,text/html
https://nation.foxnews.com/account/signup-account/fn1month-web/,5048,0,text/html
https://nation.foxnews.com/account/signup-account/fn1year-web/,5048,0,text/html
https://nation.foxnews.com/channel/primetime/,343967,171,text/html
https://nation.foxnews.com/cops-nation/,62502,63,text/html
https://nation.foxnews.com/the-fall-of-the-house-of-murdaugh-nation/,64452,56,text/html
https://nation.foxnews.com/greg-gutfelds-what-did-i-miss-nation/,35392,28,text/html
https://nation.foxnews.com/crimecam-247-nation/,53421,45,text/html
https://nation.foxnews.com/martin-scorsese-presents-the-saints-nation/,86158,87,text/html
https://try.nation.foxnews.com/watch-on-my-tv,16850,18,text/html
https://nation.foxnews.com/account/signup-plans/,33823,23,text/html
https://nation.foxnews.com/account/verification?sheerVerification=firstResponder,5048,0,text/html
https://nation.foxnews.com/account/verification?sheerVerification=military,5048,0,text/html
https://nation.foxnews.com/article/terms-of-use-5bb6868d5245a0001905011d/,128176,16,text/html
https://nation.foxnews.com/article/privacy-policy-60dcbd409c071e0021ddf853/,97819,60,text/html
https://privacy.foxnews.com/nation/web/main,1195,0,text/html
https://radio.foxnews.com/listen/,77998,69,text/html
https://radio.foxnews.com/fox-news-talk/,77345,64,text/html
https://radio.foxnews.com/fox-news-talk/brian-kilmeade/,129762,126,text/html
https://radio.foxnews.com/fox-news-talk/fox-across-america-with-jimmy-failla/,128570,129,text/html
https://radio.foxnews.com/fox-news-talk/guy-benson/,119989,112,text/html
https://radio.foxnews.com/podcast/will-cain-country/,121074,114,text/html
https://radio.foxnews.com/account,73306,56,text/html
https://radio.foxnews.com/podcast/fox-news-talk-podcast/,77345,64,text/html
https://radio.foxnews.com/podcast/fox-across-america-premium-podcast/,128570,129,text/html
https://radio.foxnews.com/podcast/brian-kilmeade-show-premium-podcast/,129762,126,text/html
https://radio.foxnews.com/podcast/guy-benson-show-premium-podcast/,119989,112,text/html
https://radio.foxnews.com/station-finder/,77711,65,text/html
https://radio-affiliates.foxnews.com,83738,18,text/html
https://radio.foxnews.com/2025/10/08/evening-edition-optimism-mounts-for-trumps-gaza-deal/,90557,83,text/html
https://radio.foxnews.com/2025/10/08/stanford-football-receives-50-million-from-former-university-trustee-bradford-freeman/,92123,79,text/html
https://radio.foxnews.com/2025/10/08/diddy-judge-says-he-should-serve-prison-sentence-close-to-nyc/,88296,77,text/html
https://radio.foxnews.com/2025/10/08/maria-bartiromo-on-trump-china-and-investing-for-your-kids/,90975,83,text/html
https://radio.foxnews.com/2025/10/08/diddy-did-it/,90717,87,text/html
https://radio.foxnews.com/2025/10/08/nicaragua-persigue-opositores/,87527,80,text/html
https://radio.foxnews.com/podcast/blood-mountain/?utm_source=homepage&utm_medium=billboard&utm_campaign=blood_mountain,82762,28,text/html
https://radio.foxnews.com/2025/10/08/leading-ca-democrat-katie-porter-melts-down-on-cbs-ft-jeffery-mead-rep-riley-moore/,94273,91,text/html
https://radio.foxnews.com/2025/10/08/federal-authorities-arrest-man-suspected-of-starting-l-a-s-palisades-wildfire/,88173,77,text/html
https://radio.foxnews.com/2025/10/08/dems-homicidal-allies/,88741,83,text/html
https://radio.foxnews.com/2025/10/08/republicans-suddenly-defend-federal-programs-mtg-defects-and-trump-and-dems-could-reach-a-deal/,94536,83,text/html
https://radio.foxnews.com/2025/10/08/fox-news-highlights-october-7th-2025/,89124,83,text/html
https://radio.foxnews.com/2025/10/08/yankees-beat-blue-jays-9-6-extend-alds-to-game-4/,87486,78,text/html
